generation,maxEv,aveEv,aveEvNotOne
0,3585,411.964,2877.75
1,4606,2409.62,2753.71
2,4606,3846.44,4102.8
3,4847,3493.88,4299.92
4,4847,2939.19,4274.73
5,4847,3119.19,4158.58
6,4847,2143.38,4285.75
7,5088,3597.31,4427.23
8,5088,3971,4538.14
9,5088,3725.75,4585.31
10,5088,3665.69,4189.21
11,5088,2827.5,4112.27
12,5088,2789.25,4056.64
13,5228,3306.31,4408.08
14,5228,2826.25,4521.4
15,5228,4187.69,4466.8
16,5228,3381,4507.67
17,5228,3392.38,4522.83
18,5228,3771.75,4641.92
19,5228,2763.31,4420.7
20,5228,3086.5,4489
21,5228,3129.62,4551.73
22,5228,4102.12,4375.53
23,5228,3820.56,4702
24,5228,3822.69,4704.62
25,5228,3536.31,4714.75
26,5228,4175.19,5138.46
27,5228,3874.69,5165.92
28,5228,4087.75,5030.85
29,5525,4061.94,4999.08
30,5525,3156.44,5049.7
31,5525,3851.5,5135
32,5525,3375.44,5400.1
33,5525,4208.44,5179.38
34,5525,4976.38,5308.07
35,5525,4064.81,5002.62
36,5525,4692.88,5363.14
37,5647,4528.5,5175.29
38,5647,3441.81,5005.82
39,5647,4716.44,5030.8
40,5647,3885.81,5180.75
41,5647,4519.12,5164.57
42,5647,3324,5317.8
43,5647,4444.56,5079.36
44,5831,3564.69,5184.55
45,5831,4265,5249
46,5831,4337.75,4626.87
47,5831,3519.31,4021.93
48,5831,3089.31,4118.75
49,5831,3752.69,4002.8
50,5831,3338.69,3815.5
51,5831,3882.38,4778.08
52,5831,3913.25,4472.14
53,5831,3953.25,4517.86
54,5831,3642.81,4483.23
55,5831,3010.25,4815.8
56,5831,3701.5,4555.46
57,5831,4062.38,4642.57
58,5831,4695.94,4695.94
59,5831,3711.38,4948.17
60,5831,2994,5321.89
61,5831,4013.5,4586.71
62,5831,2866.06,4585.1
63,5831,3453.12,5022.27
64,5831,2649.75,4709.89
65,5831,3991.5,4912.38
66,5831,3879.62,4774.69
67,5831,4360.75,4983.57
68,5980,3722.81,4963.42
69,5980,2727.62,4848.33
70,5980,3034.06,5393.11
71,5980,2521.25,5041.5
72,5980,4576.75,4881.8
73,5980,3884.81,5179.42
74,5980,5269.81,5621.07
75,5980,3260.44,5216.1
76,5980,4462.56,5492.15
77,5980,3610.88,5251.73
78,5980,3923.38,4483.71
79,5980,4067.06,4647.93
80,5980,3897.31,4796.46
81,5980,3874.69,5635.45
82,5980,3000.62,5333.67
83,5980,4378.44,5388.62
84,5980,4400.25,5415.46
85,5980,4244.88,5659.5
86,5980,3578.56,5725.1
87,5980,3565,5703.4
