generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0
0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1
0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1
0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0
0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1
0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1
0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1
0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1
0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0
0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1
0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1
0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1
0,4257,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1
0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0
0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1
0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1
0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0
0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0
0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0
0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1
0,3216,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0
1,3579,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1
1,4876,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1
1,3599,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1
1,4257,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1
1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,4666,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
1,2807,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1
1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1
1,4257,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1
1,3216,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,4257,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1
1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1
2,4218,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
2,4876,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
2,2985,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
2,3942,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1
2,3809,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2,4032,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1
2,2987,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
2,3563,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
2,4666,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
2,4032,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1
2,4257,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1
2,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
2,4876,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1
2,4876,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1
2,2807,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
2,4257,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1
3,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1
3,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1
3,4443,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1
3,4467,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1
3,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1
3,4193,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1
3,4666,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
3,4032,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1
3,4886,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1
3,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1
3,3400,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
3,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1
3,4876,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
3,4876,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1
3,4257,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1
3,4257,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1
4,4661,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
4,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1
4,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
4,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1
4,4935,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1
