generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1
0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1
0,2149,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1
0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0
0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1
0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0
0,2915,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0
0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0
0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1
0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0
0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1
0,2443,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1
0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1
0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0
0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0
0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0
0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0
0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0
1,3335,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
1,3599,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
1,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
1,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
1,3179,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
1,2648,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
1,2642,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0
1,3899,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
1,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
1,2915,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
1,2443,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
2,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0
2,2800,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0
2,4257,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0
2,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0
2,3599,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2,3146,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
2,3599,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
2,3868,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
2,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
2,3899,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
2,3599,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
2,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
3,4123,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0
3,4257,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0
3,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
3,4257,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0
3,3078,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
3,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0
3,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
3,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0
3,3599,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
3,3047,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0
3,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0
3,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0
3,4257,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0
3,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
3,3898,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
3,3899,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
4,3680,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
4,4692,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0
