generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0
0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0
0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0
0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1
0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1
0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0
0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1
0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1
0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1
0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0
0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0
0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0
0,4249,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
0,1958,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
0,5144,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1
0,2276,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
0,2865,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
0,3740,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1
0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1
1,2677,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0
1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1
1,2588,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1
1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0
1,4091,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1
1,2475,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1
1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0
1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
1,2402,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0
1,1948,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1,5144,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1
1,1958,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
1,2865,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
1,4249,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
2,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
2,4087,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1
2,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0
2,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1
2,2263,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
2,3801,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1
2,2974,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0
2,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0
2,3189,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
2,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0
2,2759,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
2,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0
2,5144,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1
2,2402,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
2,2677,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0
2,2475,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1
3,5144,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1
3,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1
3,3279,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
3,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1
3,4005,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1
3,4673,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1
3,2299,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
3,4417,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0
3,4085,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1
3,2848,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
3,3534,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1
3,5144,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1
3,3801,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1
3,3189,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
3,2677,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0
4,3054,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
4,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1
4,4556,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1
4,4148,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
4,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1
4,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1
4,4556,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1
4,3943,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
4,5025,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1
4,3279,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
4,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1
4,3589,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1
4,5144,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1
