generation,maxEv,aveEv,aveEvNotOne
0,4386,547.143,3059.4
1,4392,2841.19,3787.92
2,4392,2678.31,3895.27
3,4417,2993.94,3991.58
4,4830,2093.5,4186
5,4830,2572.94,4116.1
6,5189,4075.19,4346.8
7,5189,3467.06,4622.42
8,5189,2171.5,4962.14
9,5189,3398.12,4530.5
