generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1
0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1
0,3030,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1
0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0
0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1
0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1
0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0
0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1
0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0
0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0
0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0
0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1
0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0
0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0
0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0
0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0
0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1
0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0
0,2514,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0
0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0
0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0
1,1784,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,2977,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1
1,2756,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0
1,3541,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
1,2793,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,3038,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,3615,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0
1,3378,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0
1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1
1,3030,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1,2514,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,3030,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0
2,3277,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
2,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
2,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0
2,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0
2,3008,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
2,3615,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0
2,2925,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
2,2649,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2,3746,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
2,2752,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2,2534,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2,3615,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0
2,3615,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0
2,2756,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2,3615,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0
2,2793,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
3,3227,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3,3746,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
3,2878,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
3,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1
3,3087,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
3,3498,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
3,2702,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
3,2994,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
3,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
3,4215,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1
3,2519,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,2923,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
3,3746,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
3,2756,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3,2649,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
3,2793,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
4,3439,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0
4,4031,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1
4,3933,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1
4,4037,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
4,3994,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1
4,4950,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1
4,3967,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1
4,2454,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
4,4215,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1
4,2739,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
4,3941,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1
4,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
4,4215,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1
4,2923,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
4,3498,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
4,4215,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1
5,4950,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1
5,4451,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1
5,3793,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0
5,4215,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1
5,3650,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
5,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1
5,3904,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0
5,4731,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1
5,4144,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
5,4873,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1
5,3409,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
5,4215,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1
5,4950,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1
5,4950,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1
5,4215,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1
5,2739,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
6,3650,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
6,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1
6,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1
6,4215,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1
