generation,maxEv,aveEv,aveEvNotOne
189,5818,3852.12,5135.83
190,5818,3907.19,5209.25
191,5818,4406.5,5035.86
192,5818,4172.31,5562.75
193,5818,3502.38,5603.2
194,5818,4664.94,5331.21
195,5818,5204.44,5551.33
196,5818,3480.12,5567.6
197,5818,4113.19,5483.92
198,5818,3981.19,5307.92
199,5818,3507.38,5101.18
200,5818,4730.19,5405.79
201,5818,4770.62,5452
202,5818,4522.88,5566.38
203,5818,3576.88,5722.4
204,5818,4461.19,5490.46
205,5818,4388.12,5400.54
206,5818,5134.94,5134.94
207,5818,3763.19,5473.27
208,5818,4777.69,5096.13
209,5818,4333.88,5333.77
210,5818,4586.12,5241.14
211,5818,4638,5300.43
212,5818,4362.62,5369.15
213,5818,3511.31,5617.5
214,5818,4499.31,5537.38
215,5818,2472.25,5649.57
216,5818,3670.5,5338.45
217,5818,3961.31,5281.42
218,5818,2959.44,5260.44
219,5818,3494.44,5082.36
220,5818,4182.62,5147.62
221,5818,3193.94,4645.27
222,5818,4004.44,4928.31
223,5818,3884.25,5178.67
224,5818,4957.38,4957.38
225,5818,4401.94,5030.64
226,5818,4072.38,5011.92
227,5818,4066.19,5004.31
228,5818,2654.44,4718.22
229,5818,3088.06,4491.27
230,5818,4377.75,4669.53
231,5818,3608.88,4441.46
232,5818,3172.62,4614.27
233,5818,3956.31,4869.08
234,5818,4945.75,5275.4
235,5818,4114.25,5063.46
236,5818,4007.5,4932.08
237,5818,4113.38,5062.38
238,5818,3130.19,5007.7
239,5818,3600.38,4800.17
240,5818,3818.5,5091
241,5818,3618.81,5263.27
242,5818,4257.56,5239.85
243,5818,4203.25,5173
244,5818,4452.38,5479.62
245,5818,3218.69,5721.33
246,5818,3939.75,5730.09
247,5818,3827,5566.09
248,5818,3937.25,5249.33
249,5818,3781.62,5041.83
250,5818,4977.44,4977.44
251,5818,4019.75,5359.33
252,5818,4426.25,5058.43
253,5818,4002.38,4574
254,5818,4148.31,4424.8
255,5818,3725.31,4584.77
256,5818,4165.44,4443.07
257,5818,4764.31,4764.31
258,5818,2950.19,4719.7
259,5818,4038.69,5384.58
260,5818,3737.88,5436.45
261,5818,4104.31,5472.08
262,5818,3476.94,5056.91
263,5818,3522.25,5122.82
264,5818,3399.94,4944.91
265,5818,4042.75,5390
266,5818,5031.38,5366.73
267,5818,4724.94,5399.79
268,5818,4017.75,5356.67
