generation,maxEv,aveEv,aveEvNotOne
0,2348,84.8214,2348
1,3965,1246.25,2847.29
2,4436,2797.69,2984.13
3,4436,2724.19,3631.92
4,4830,2751.94,3668.92
5,4830,2439.38,3547.73
6,4830,2656.06,4249.1
7,5263,4022.06,4596.5
8,5271,4179.31,4776.21
9,5271,3476.75,4635.33
10,5271,4248.44,4855.21
11,5447,4419.88,5051.14
12,5447,4177.25,4773.86
13,5608,4105.5,5052.69
14,5698,4165.5,5126.54
15,5698,4169.75,5131.77
16,5698,4969.44,5300.67
17,5698,3789.56,5052.42
18,5698,3920,5226.33
19,5698,3476.44,4634.92
20,5698,3494.75,4659.33
21,5706,3807.94,5076.92
22,5706,3596.19,4794.58
23,5706,4267.44,4876.93
24,5706,3461.5,4615
25,5706,3431.12,4222.69
26,5706,4381.56,4673.6
27,5706,3442.06,5006.18
28,5706,4532.81,5180.21
29,5706,4395.44,5409.54
30,5706,4548.12,5197.71
31,5706,4154.56,5113.08
32,5706,4280.56,4891.93
33,5706,4659.81,4970.4
34,5980,4052.19,5402.58
35,5980,3928.44,5237.58
36,5980,3951.06,5267.75
37,5980,2690.62,5380.25
38,5980,4107.81,5055.54
39,5980,4658.5,5323.86
40,5980,4579.25,5233.29
41,5980,3959.12,4524.57
42,5980,3577.88,4403.31
43,5980,4479.19,4777.73
44,5980,2765.44,4424.1
45,5980,4464.19,4761.73
46,5980,2844,4136.27
47,5980,3739.25,4601.92
48,5980,3969.31,4885.08
49,5980,4113.5,5062.54
50,5980,3459.88,5032.09
51,5980,4556.69,5207.5
52,5980,3740.5,5440.27
53,5980,4880.06,5577.07
54,5980,4262.19,5682.58
55,5980,4887.44,5585.5
56,5980,5049.38,5385.93
57,5980,4326.81,5325.08
58,5980,4887.81,5213.6
59,5980,4575.12,5228.57
60,5980,3635.25,4846.67
61,5980,4393.5,5021
62,5980,2843.25,5053.89
63,5980,4690.94,5360.93
64,5980,3676.88,5347.73
65,5980,3535.75,5142.45
66,5980,4825.25,5146.87
67,5980,5162.75,5162.75
68,5980,4159.88,5119.62
69,5980,4273.06,5258.92
70,5980,4795.19,5114.8
71,5980,4201.31,5170.62
72,5980,4588.19,5243.5
73,5980,5228.56,5577.07
74,5980,3844.25,5591.18
75,5980,4369.12,5377.15
76,5980,4116.31,5488.08
77,5980,2274.25,5197
78,5980,3964.25,4878.85
79,5980,5102.06,5442.13
80,5980,4459.12,5487.92
81,5980,3592.56,5225.09
82,5980,4390.81,5403.85
83,5980,4754.38,5851.31
84,5980,3961.5,5761.73
85,5980,4994.25,5707.57
86,5980,4265,5686.33
87,5980,3427.44,5483.3
88,5980,3861.75,5148.67
89,5980,3746.38,4994.83
90,5980,4314.12,5309.46
91,5980,3881.38,5645.18
92,5980,2981.44,5299.56
93,5980,4524.5,5568.38
94,5980,3950.19,5266.58
95,5980,3504.69,5097.27
96,5980,4381.25,5392.08
97,5980,4556,4859.67
98,5980,4296.38,5287.62
99,5980,2900.25,5155.22
100,5980,3419.25,4973
101,5980,3976.81,4544.79
102,5980,4596.06,5252.5
103,5980,3719.75,5410.09
104,5980,3345.62,5352.4
105,5980,2228.25,5091.86
106,5980,4363.19,5369.85
107,5980,3797.62,5063.17
108,5980,3147.25,5035
109,5980,3805.56,5534.91
110,5980,3889.38,5185.5
111,5980,4061.31,4998.31
112,5980,4113.75,5062.85
113,5980,3927.88,4834.08
114,5980,4848.06,4848.06
115,5980,3637,4849
116,5980,3985.06,5313.08
117,5980,3436.25,4997.73
118,5980,4500.25,5143
119,5980,4553.12,5203.43
120,5980,3448.5,5517
121,5980,4061.06,5414.42
122,5980,4800.19,5485.79
123,5980,4633.06,5294.79
124,5980,4633.25,5295
125,5980,4488.81,5524.46
126,5980,3986.38,5314.83
127,5980,3676.06,4901.08
128,5980,3825.88,5100.83
129,5980,3791.06,5513.82
130,5980,4099.94,5466.25
131,5980,3006.5,5344.11
132,5980,3835.88,5114.17
133,5980,4377.5,5836.33
134,5980,3627.25,5803
135,5980,3997.56,5814.18
136,5980,3975.94,5782.73
137,5980,4939.38,5644.86
138,5980,4338.75,5784.67
139,5980,3884.56,5649.82
140,5980,5507.81,5874.93
141,5980,4479.75,5513.31
142,5980,4073.25,5430.67
143,5980,4630.12,5698.38
144,5980,4763,5080.47
145,5980,4425.44,5446.46
146,5980,4666.31,5742.92
147,5980,4186.19,5581.25
148,5980,3598.88,5757.6
149,5980,2542.25,5083.5
150,5980,5194.44,5540.67
151,5980,3896.12,5666.64
152,5980,4205.69,5607.25
153,5980,3580.69,5728.5
154,5980,3072.12,5460.78
155,5980,4448.38,5474.69
156,5980,5054.5,5391.4
157,5980,3169.62,5634.11
158,5980,2967,5273.89
159,5980,5308,5661.8
160,5980,4348.62,5797.83
161,5980,4049.88,5890.27
162,5980,4467.06,5497.69
163,5980,2828.88,5028.33
164,5980,3324.81,4835.64
165,5980,4120.62,5493.83
166,5980,4300.75,5293
167,5980,3852.06,5602.55
168,5980,4223.94,5631.58
169,5980,4949.12,5656
170,5980,3531,5649
171,5980,4725.06,5399.93
172,5980,3908.94,5211.58
173,5980,4755.06,5434.21
174,5980,3930.81,5240.75
175,5980,4346.31,4967.07
176,5980,3865.88,5154.17
177,5980,4188.31,5154.62
178,5980,4938.12,5267.27
179,5980,3786.44,5048.25
180,5980,3156.12,5610.11
181,5980,4766.88,5866.69
182,5980,4636.69,5706.46
183,5980,5242.19,5591.6
184,5980,4187.06,5582.42
185,5980,5240,5589.27
186,5980,4630.19,5291.5
187,5980,3679.69,4905.92
188,5980,3912.94,5216.92
189,5980,4565.25,5217.29
190,5980,4019.75,5359.33
191,5980,5316,5316
192,5980,3622.25,5268.27
193,5980,4564.94,5618.15
194,5980,4776.62,5458.86
195,5980,4142.56,5098.31
196,5980,4208.44,5179.38
197,5980,4588.88,5244.29
198,5980,4614.62,5273.71
199,5980,3352.25,4875.55
200,5980,5193.62,5193.62
201,5980,4432.31,5065.36
202,5980,3805.38,4683.31
203,5980,3619.81,4454.92
204,5980,4787.44,5471.21
205,5980,4152.94,5536.92
206,5980,3975.25,5300
207,5980,3696,4927.67
208,5980,3695.94,4927.58
209,5980,3735.38,5432.82
210,5980,4246.62,5661.83
211,5980,3693,5371.18
212,5980,3723.25,4964
213,5980,4780.38,5883.31
214,5980,3914.69,5693.64
215,5980,4686.69,5768
216,5980,4730.19,5821.54
217,5980,2188.75,5835
218,5980,4602.12,5663.92
219,5980,3396.19,5433.3
220,5980,4585.94,5240.93
221,5980,4194.94,5162.77
222,5980,3808.62,5077.83
223,5980,5081.81,5420.53
224,5980,4028.56,5859.27
225,5980,4581.31,5638.31
226,5980,3388.12,5420.4
227,5980,3953.44,5270.92
