generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1
0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0
0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1
0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1
0,3784,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1
0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1
0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0
0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
0,2098,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
0,3623,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0
0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1
0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1
0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1
0,3201,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0
0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0
0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1
0,2332,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1
0,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1
0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1
0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1
0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0
0,2209,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
1,1661,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1,4288,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
1,2958,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0
1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1
1,2339,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1,4123,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1
1,2882,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0
1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0
1,2263,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
1,3036,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0
1,3004,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
1,3520,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0
1,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
1,3201,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
1,3623,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0
1,2098,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2,4247,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
2,4288,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
2,3196,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
2,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1
2,3277,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
2,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1
2,1822,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
2,4033,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1
2,3025,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
2,4123,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1
2,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0
2,2586,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
2,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
2,4288,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
2,2098,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2,3036,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0
3,4540,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1
3,4195,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1
3,3551,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
3,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
3,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1
3,4370,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1
3,3430,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
3,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
3,3367,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1
3,3849,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1
3,4359,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
3,2762,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
3,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
3,4288,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
3,3277,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
3,4033,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1
4,3492,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
4,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1
4,2310,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
4,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1
4,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
4,4540,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1
4,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0
4,3857,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1
4,3277,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
4,4638,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
4,3277,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
4,4540,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1
4,3430,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
4,3551,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
4,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
5,4571,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
5,4540,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1
5,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1
5,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
5,3551,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
5,4638,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
5,4540,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1
5,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
5,3551,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
5,4835,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
5,3947,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
5,3737,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1
5,4638,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
5,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
5,4540,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1
5,3277,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
6,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
6,4638,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
6,4816,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
6,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
6,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0
6,5255,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
6,4638,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
6,4967,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1
6,3766,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0
6,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1
6,3224,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
6,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0
6,4835,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
6,4571,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
6,4364,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
6,3947,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
7,4996,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1
7,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1
7,5255,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
7,4835,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
7,5188,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
7,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1
7,5026,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
7,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
7,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1
7,4599,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
7,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1
7,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
7,5255,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
7,4816,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
7,4835,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
7,4967,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1
8,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1
8,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1
8,5188,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
8,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1
8,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1
8,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
8,4083,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1
8,5255,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
