generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
3,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
3,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
3,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
3,4308,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1
3,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
3,3835,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
3,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
4,4331,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,3790,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
4,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1
4,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1
4,3689,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
4,4244,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1
4,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,3960,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1
4,3873,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
4,3776,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1
4,4147,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
4,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,3835,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,3349,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
4,4300,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1
5,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0
5,4205,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1
5,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1
5,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5,3380,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1
5,3689,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
5,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1
5,3835,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5,4300,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1
5,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5,3689,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
