generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
0,3148,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0
0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1
0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0
0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1
0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1
0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1
0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0
0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,3438,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0
0,3642,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0
0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0
0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0
0,2360,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1
0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0
0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1
0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
0,3301,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0
0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0
0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0
0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1
0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0
0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0
1,2512,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0
1,2803,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0
1,2796,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0
1,3083,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0
1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0
1,2099,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
1,3472,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0
1,3642,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1,2360,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
1,3438,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0
1,3301,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0
2,3207,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2,2912,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
2,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0
2,2516,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
2,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1
2,1829,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
2,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0
2,2846,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
