generation,maxEv,aveEv,aveEvNotOne
0,4257,267.821,3736.5
1,4876,2220.06,3946
2,4876,3761.5,4012.2
3,4886,3022.38,4395.73
4,4935,2944,4281.73
5,5370,3779,4318.71
6,5370,3394.69,4177.85
7,5370,3618.81,4453.69
8,5370,3446.38,4594.83
9,5370,4384.81,5011.07
10,5382,4005.38,4929.46
11,5382,3582.81,4776.75
12,5382,3147.19,4577.27
13,5501,3931.5,4838.54
14,5501,2339.94,4678.88
15,5501,3778.25,5037.33
16,5501,4234.44,4839.21
17,5501,3811.88,4356.29
18,5501,3632.56,4151.36
19,5501,3963.69,4529.79
20,5501,3463.5,4617.67
21,5796,3551.06,4734.42
22,5796,2781.12,4044.82
23,5980,3848.44,5130.92
24,5980,3279.25,5246.2
25,5980,4356.44,4978.64
26,5980,4470.88,4768.87
27,5980,4034,4610.14
28,5980,3886.25,5181.33
29,5980,3855.88,5608.09
30,5980,4015.94,5354.25
31,5980,3972.62,5296.5
32,5980,4342.5,5344.38
33,5980,3571.56,5713.9
34,5980,4659.5,5734.54
35,5980,4063.19,5417.25
36,5980,3562.38,5699.2
37,5980,3783.81,5503.27
38,5980,4139.94,5095.08
39,5980,3863.81,4755.23
40,5980,3900.38,5200.17
41,5980,3853.31,5604.36
42,5980,3047.81,5417.56
43,5980,4362.06,5368.46
44,5980,3119.75,4991
45,5980,3616.12,5259.36
46,5980,4815.88,5503.71
47,5980,3849,5131.67
48,5980,4226.5,5201.62
49,5980,3790.69,5053.92
50,5980,3458.75,4611.33
51,5980,2934.94,3912.92
52,5980,4489.5,5130.71
53,5980,4283.44,5710.92
54,5980,4206.88,5608.83
55,5980,3869.19,5627.45
56,5980,3484.94,5575.3
57,5980,4941.44,5647.21
58,5980,3457.19,5530.9
59,5980,3014.88,5359
60,5980,4225.62,5200.54
61,5980,4839.25,5161.8
62,5980,3285.12,5255.6
63,5980,4611.19,5269.79
64,5980,3308.31,5292.7
65,5980,3817.25,5089.33
66,5980,4071.56,5010.92
67,5980,4362.25,4653
68,5980,3333.12,4443.83
69,5980,3950.44,4861.85
70,5980,3664.5,4187.86
71,5980,2330.25,4659.5
72,5980,4462.31,4759.73
73,5980,3794.25,5058.67
74,5980,3590,5221.36
75,5980,3683,4910.33
76,5980,4719.44,5034
77,5980,4683.56,5352.5
78,5980,4211.44,5183.08
79,5980,3177.88,5084
80,5980,4850.81,5174.13
81,5980,4454.5,5090.71
82,5980,3504.88,5097.55
83,5980,4296.19,4909.79
84,5980,4557.5,4861.27
85,5980,3268,4753
86,5980,3919.44,5225.58
87,5980,4549.94,5199.79
88,5980,4355.56,4977.64
89,5980,4254.88,5672.83
90,5980,4520.81,5563.85
91,5980,4065.44,5420.25
92,5980,3509.19,5103.82
93,5980,3750.62,5455
94,5980,3455.81,5528.7
95,5980,3969.19,5772.91
96,5980,4352.69,5803.25
97,5980,3608.5,5773
98,5980,3930,5715.91
99,5980,5233.69,5582.53
100,5980,3853.56,5604.73
101,5980,4786.25,5469.86
102,5980,4012.56,5349.75
103,5980,4066.56,5421.75
104,5980,5038.12,5757.71
105,5980,4660.06,5735.23
106,5980,4582.06,5639.23
107,5980,5009.81,5725.36
108,5980,3272.56,5817.11
109,5980,5089.94,5816.93
110,5980,4577.12,5633.15
111,5980,4145.38,5526.83
112,5980,4226.44,5634.92
113,5980,4792.69,5477.21
114,5980,3600.06,5759.5
115,5980,4490.12,5526.08
116,5980,3870.12,5159.83
117,5980,3523.06,5124
118,5980,4575.56,5229.07
119,5980,3965.25,5286.67
120,5980,4104.75,5051.77
121,5980,3407.19,5450.9
122,5980,3189.56,5669.56
123,5980,3658.19,5320.55
124,5980,4115.69,5487.25
125,5980,3561.62,5698
126,5980,3973.81,5779.64
127,5980,3757,5464.27
128,5980,4763.94,5444.36
129,5980,4477.56,5117.07
130,5980,3492.5,5079.55
131,5980,3891.62,5188.5
132,5980,4652.88,5317.43
133,5980,4192.44,5589.58
134,5980,4470,5501.31
135,5980,5009.94,5725.5
136,5980,4104.25,5472
137,5980,4255.19,5236.92
138,5980,4786.25,5469.86
139,5980,3532.81,5651.9
140,5980,4679.38,5347.71
141,5980,3829.38,4712.85
142,5980,4218.12,5191.31
143,5980,4516.94,5559.08
144,5980,4061,5414.33
145,5980,4217.06,5622.42
146,5980,5272.75,5624.2
147,5980,4828,5517.57
148,5980,4355.88,5360.85
149,5980,4406.12,5422.69
150,5980,4660.5,5326.14
151,5980,3691.44,5368.91
152,5980,4050.38,4984.85
