generation,maxEv,aveEv,aveEvNotOne
0,5144,723.357,3372
1,5144,1900.19,3039.7
2,5144,1986.06,3177.1
3,5144,3068.62,3776.54
4,5144,3133.62,4177.83
5,5144,3513.44,4015.21
6,5144,3557.44,4065.5
7,5144,2720.69,4352.5
8,5144,2876.5,3835
9,5144,3157.88,4210.17
10,5144,2800.75,3734
11,5144,3503.56,4003.93
12,5144,2616.12,4185.2
13,5144,4108,4381.8
14,5144,3307.94,4410.25
15,5226,2762.94,4420.1
16,5226,3340.19,4453.25
17,5226,2795.25,4471.8
18,5226,3583.62,4410.38
19,5226,3604.88,4436.54
20,5447,2966.44,4745.7
21,5447,4002.69,4574.36
22,5447,4537.44,4839.87
23,5447,4149.62,4426.2
24,5447,3906.38,4464.29
25,5447,3799.38,4342
26,5447,4144.06,4420.27
27,5447,3558.88,4744.83
28,5447,4124.5,4713.57
29,5447,3596.94,4426.77
30,5447,3484.62,5068.09
31,5447,4674.75,4986.33
32,5447,3374.81,4908.36
33,5447,4628.5,4937
34,5447,4506.88,4807.27
35,5447,3653.19,4870.58
36,5447,3761.81,5015.42
37,5447,3532.69,5138
38,5447,3361.56,4889.09
39,5447,3720.69,4960.58
40,5447,3757.25,5009.33
41,5447,3761.81,5015.42
42,5447,3837.25,4385.29
43,5447,4178.06,4774.79
44,5447,3626.38,4834.83
45,5447,3573.62,4764.5
46,5447,3282.19,4375.92
47,5447,3392.44,4522.92
48,5447,3422.5,4977.73
49,5447,3504.19,5096.55
50,5447,4045.69,4979.08
51,5447,4486,5126.71
52,5447,4921.5,4921.5
53,5447,2928.94,5206.22
54,5447,2253.94,5150.57
55,5447,3632.75,4843.33
56,5447,4424.5,5056.43
57,5447,3482.12,5064.45
58,5447,3411.25,4961.36
59,5447,3803.25,4680.69
60,5447,4273.5,4558.33
61,5447,3273,4363.67
62,5447,3405.69,4191.38
63,5447,3346.81,4462.08
64,5447,3567.81,4390.92
65,5447,3847.19,5129.25
66,5447,4380.62,5006.29
67,5657,3838.81,4724.46
68,5657,4180.94,4778.07
69,5657,4005.19,4929.23
70,5657,2762.25,4419
71,5657,3137,4562.45
72,5657,3995,4565.57
73,5657,4435.94,5069.5
74,5657,4501.38,5144.29
75,5657,4493.06,5529.69
76,5657,4311.31,5306
77,5657,5028.56,5363.73
78,5657,4187.56,5153.69
79,5657,3909.31,5212.08
80,5657,3667.12,4889.17
81,5657,4040,4617
82,5657,4163.62,4758.29
83,5657,3588.31,5218.91
84,5657,3891.31,5188.08
85,5657,3325.56,4836.73
86,5657,3798,4674.23
87,5657,4445.38,5080.29
88,5657,4143.25,5099.15
89,5800,4011.69,5348.58
90,5800,3921.56,5228.42
91,5800,4466.56,5104.5
92,5800,3299.88,4799.36
93,5800,3405.81,4953.45
94,5800,4255.69,4863.5
95,5800,4307.19,4594.27
96,5800,3544.94,4726.25
97,5800,3202,5122.6
98,5800,4361.44,4984.36
99,5800,3849.69,5132.58
100,5800,4334.25,5334.23
101,5800,4608.56,5266.79
102,5800,4018.31,5357.42
103,5800,4503.06,5542
104,5800,5141,5483.67
105,5800,4232.75,5643.33
106,5800,4453.12,5480.54
107,5800,2803.38,5605.75
108,5800,4174,5565
109,5800,3359.75,5375
110,5800,3798.69,5524.91
111,5800,5019.69,5736.64
112,5800,5651.31,5651.31
113,5800,4211.62,5615.17
114,5800,3875.38,5636.45
115,5800,4720.62,5394.86
116,5800,4266.94,5251.38
117,5800,3869.06,5158.42
118,5800,3834.19,5111.92
119,5800,3833.12,5110.5
120,5800,4016.94,4943.69
121,5800,3147.31,5035.1
122,5800,4044.5,4977.62
123,5800,4279.88,5267.31
124,5800,3889.88,5657.55
125,5800,2722.75,5444.5
126,5800,3594.81,5228.36
127,5800,3077.56,5470.44
128,5800,2900.5,5800
129,5800,3583.88,5733.6
130,5800,4424.19,5444.92
131,5800,4242,5220.69
132,5800,3902.19,5202.58
133,5800,3792.69,5056.58
134,5800,4569.56,5222.21
135,5800,4754.38,5433.43
136,5800,4021.44,4949.23
137,5800,4370.25,4994.43
138,5800,3997.94,4568.93
139,5800,3225.94,4300.92
140,5800,3857.56,4747.54
141,5800,3363.94,4484.92
142,5800,3222.25,3965.62
143,5800,3546.75,4728.67
144,5800,3808.75,5078
145,5800,5014.44,5348.67
146,5800,3611.06,5777.1
147,5800,3697.44,5377.64
148,5800,3101.38,5512.78
149,5800,3947.81,5263.42
150,5800,2816.06,4505.1
151,5800,5002.06,5335.47
152,5800,3618.06,5262.18
153,5800,4305.19,4920.07
154,5800,4234.5,4839.29
155,5800,4242.19,4848.07
156,5800,3882.19,4777.85
157,5800,4194.06,4473.6
158,5800,3283.06,4774.91
159,5800,4696.88,4696.88
160,5800,3269,4754.45
161,5800,3335.19,5335.7
162,5800,4072.44,5429.58
163,5800,3706.69,5391.09
164,5800,3598.5,4797.67
165,5800,3737.44,4271.21
166,5800,3367.81,4144.77
167,5800,2764,4019.91
168,5800,3540.62,4046.29
169,5800,4034.06,4610.21
170,5800,3559.81,5177.45
171,5800,3597.94,5756.1
172,5800,3842.19,5588.18
173,5800,3290.94,5264.9
174,5800,3098.69,4957.3
175,5800,4062.5,4999.77
176,5800,2407.38,4813.75
177,5800,3366.88,4896.82
178,5800,3732.25,4265.29
179,5800,3478.44,4637.58
180,5800,4261,4869.57
181,5800,4138.88,4730
182,5800,3617.81,4823.42
183,5800,3780,5497.73
184,5800,3975.62,5300.5
185,5800,4033.5,4964.08
186,5800,4516.62,5161.71
187,5800,3881.94,5175.58
188,5800,4021.44,5361.58
189,5800,4005.75,5340.67
190,5800,3959,5278.33
191,5800,3647.5,5305
192,5800,4397.94,5412.62
193,5800,3436.19,4997.64
194,5800,4744.38,5422
195,5800,4389.38,5402.08
196,5800,3276.19,4764.91
197,5800,3276.69,5242.1
198,5800,4400.94,5416.31
199,5800,3342.12,4860.82
200,5800,4385.62,5012
201,5800,3837.38,4385.43
202,5800,3136.75,4562.09
203,5800,3678.69,4527.38
204,5800,3518.69,4330.46
205,5800,4132.25,4407.67
206,5800,3022.56,4396
207,5800,2919.44,4246
208,5800,3336.81,4106.62
209,5800,3591.62,4420.23
210,5800,3824.25,4079.13
211,5800,3913.44,4174.27
212,5800,3128.12,4170.5
213,5800,3474.12,4631.83
214,5800,4291.5,4904.43
215,5800,4299.31,4913.36
