generation,maxEv,aveEv,aveEvNotOne
0,4298,370,3445
1,4298,2965.62,3649.77
2,4298,3217.88,3960.23
3,4710,3451.81,4248.15
4,4710,2936.88,4271.36
5,4710,3791.44,4044.13
6,4710,2718.75,3954.09
7,4710,3709.62,3956.87
8,5347,4027.94,4027.94
9,5347,3397,4180.69
10,5347,2760.75,4907.22
11,5347,3781.81,5042.08
12,5347,4178.5,5142.54
13,5347,4122.19,5073.23
14,5347,2445.5,4890
15,5347,3254.56,4733.45
16,5347,3669.06,4891.75
17,5347,3341.62,4860.09
18,5347,2701.5,4801.89
19,5347,3443.38,4590.83
20,5347,3717.12,4574.69
21,5347,3516.25,4688
22,5347,4037.69,4614.36
23,5347,3210.19,4279.92
24,5347,3071,4094.33
25,5347,3275.62,4031.31
26,5347,3290.56,4387.08
27,5347,2395.06,3831.5
28,5347,3257.5,4009
29,5347,3611.5,4444.69
30,5400,3837.81,4385.93
31,5400,2845.94,5058.67
32,5400,3538.88,5147
33,5400,3588.75,5219.55
34,5642,3524.31,5125.82
35,5642,3182.62,4628.82
36,5642,3702,4556.08
37,5642,3750.31,5000.08
38,5796,3649.56,4865.75
39,5796,3647.56,4863.08
40,5796,3667.38,4889.5
41,5796,4160.12,4437.4
42,5796,3850.62,4739
43,5796,3523.12,5124.09
44,5980,4907.25,5234.33
45,5980,4207.69,4808.64
46,5980,4620.12,4928.07
47,5980,4127.62,4717.14
48,5980,4423.31,5443.85
49,5980,3822.12,5095.83
50,5980,3352.44,5363.3
51,5980,4875.38,5571.71
52,5980,4289.25,5718.67
53,5980,4235.81,5647.42
54,5980,3836,5579.18
55,5980,3251.75,5780.11
56,5980,3877.94,5640.18
57,5980,4875.31,5571.64
58,5980,4523.19,5566.77
59,5980,4534.94,5182.64
60,5980,4130.81,5507.42
61,5980,4604.31,5261.93
62,5980,4209.5,5180.69
63,5980,4197.94,5166.46
64,5980,3078.25,4924.6
65,5980,3504.81,5097.45
66,5980,3084.12,4934
67,5980,4641.38,5304.29
68,5980,3492.69,5079.82
69,5980,4138,5092.69
70,5980,3778.62,5037.83
71,5980,4134.06,5087.85
72,5980,4117.31,5489.42
73,5980,4118.06,5068.15
74,5980,4274.19,5698.58
75,5980,4638.25,5708.38
76,5980,3841.44,5587.09
77,5980,4055.88,5407.5
78,5980,4777.19,5459.5
79,5980,4276,4886.71
80,5980,3587.69,4783.25
81,5980,3982,5309
82,5980,4717,5390.71
83,5980,4640.69,5303.5
84,5980,4011,5347.67
85,5980,4316.25,4932.71
86,5980,3675,4899.67
87,5980,3695.75,4548.38
88,5980,3943.5,4853.31
89,5980,3167.31,5067.1
90,5980,4037.12,4968.54
91,5980,4034.31,5378.75
92,5980,4153.19,5111.38
93,5980,4278.5,5265.62
94,5980,3791.38,5514.27
95,5980,4512.12,5553.15
96,5980,4320.69,5760.58
97,5980,4854.44,5547.79
98,5980,4002.44,5336.25
99,5980,4712.5,5385.57
100,5980,4702.75,5374.43
101,5980,4625.25,5285.86
102,5980,4804.56,5124.8
103,5980,3307.56,4810.55
104,5980,3774.12,5489.18
105,5980,4259.56,5679.08
106,5980,5233.31,5582.13
107,5980,3811.44,5543.45
108,5980,4944.69,5274.27
109,5980,4372.88,5381.77
110,5980,4693.69,5364.07
111,5980,4276.94,5263.69
112,5980,5239.62,5239.62
113,5980,4591.12,5650.38
114,5980,4540.25,5587.77
115,5980,4961.81,5670.5
116,5980,4411.38,5429.15
117,5980,3717.19,5406.36
118,5980,4573.38,5226.57
119,5980,4533.69,5181.21
120,5980,3939.75,4848.69
121,5980,4302.56,4917.07
122,5980,3294.31,4791.27
123,5980,4394.5,5022.14
124,5980,4150.62,5533.83
125,5980,2915.81,5182.89
126,5980,4576.56,5230.21
127,5980,4359.5,5365.31
128,5980,2687.69,5374.38
129,5980,4336.25,5336.69
130,5980,3940.44,5253.58
131,5980,3966,5768.27
132,5980,3084.94,5483.56
133,5980,3972.88,5296.83
134,5980,4394.5,5408.38
135,5980,4211.06,5614.42
136,5980,4101.12,5467.83
137,5980,4205.69,5176
138,5980,3691.75,5369.36
139,5980,3583.25,5211.55
140,5980,3689.38,4918.83
141,5980,3458.81,5030.55
142,5980,4735,5050.6
143,5980,3582.5,5210.45
144,5980,2962.81,5266.44
145,5980,5622.88,5622.88
146,5980,4553.94,5604.62
147,5980,3714.88,5943.2
148,5980,3654.81,5847.1
149,5980,3497.69,5595.7
150,5980,5032.94,5751.79
151,5980,3975.25,5781.73
152,5980,3382.81,5411.9
153,5980,3621.5,5267.18
154,5980,4088.88,5451.5
155,5980,3567.69,5188.91
156,5980,3413.31,4964.36
157,5980,4726.31,4726.31
158,5980,4244.06,5223.23
159,5980,4607.44,5265.5
160,5980,3805,5073
161,5980,3609,5249
162,5980,3951.62,5268.5
163,5980,4074.06,5431.75
164,5980,4155.44,5540.25
165,5980,3335.88,5336.8
166,5980,4806.81,5127.2
167,5980,3712.56,5399.64
168,5980,5056.12,5056.12
169,5980,4961.25,5291.93
170,5980,4052.38,5402.83
171,5980,5097.81,5437.6
172,5980,4002.25,5336
173,5980,4484.19,5124.64
174,5980,4186.44,5581.58
175,5980,3836,5114.33
176,5980,3839.5,4725.31
177,5980,4314.06,5309.38
178,5980,4417.31,5048.21
179,5980,3536,5142.82
180,5980,4070.75,5009.92
181,5980,4655.19,5320.07
182,5980,3206.69,5130.1
183,5980,3280.81,5248.7
184,5980,4420,5051.29
185,5980,4250.06,5230.62
186,5980,3190.25,5670.78
187,5980,4599.12,5660.23
188,5980,4457.44,5485.85
189,5980,3597.44,5232.18
190,5980,4181.62,4778.86
191,5980,4762.88,5443.14
192,5980,4330.25,5329.31
193,5980,4284.06,5272.46
194,5980,3990.25,5320
195,5980,4581.81,5638.92
196,5980,3551.06,5681.1
197,5980,3608.31,5772.7
198,5980,4816.31,5504.21
199,5980,4159.25,5545.33
200,5980,3946.88,5262.17
201,5980,3998.19,5330.58
202,5980,4779.56,5462.21
203,5980,4056.81,5408.75
204,5980,3709.94,5395.82
205,5980,4061.31,5414.75
206,5980,3237.69,5179.7
207,5980,3455.75,5026.09
208,5980,4195.56,4794.79
