generation,maxEv,aveEv,aveEvNotOne
0,4364,772.571,3087.29
1,4364,2710.12,3097.14
2,4364,2774.12,3414.08
3,4540,3694.62,3940.87
4,4638,2852.75,3803.33
5,4835,3966.12,4230.47
6,5255,3336.81,4448.75
7,5255,3111.12,4977.2
8,5255,3442.06,5006.18
9,5255,4060.69,4997.54
10,5255,4270.12,4880
11,5255,3479.44,4282.15
12,5255,3198.75,4264.67
13,5255,4127.69,4402.8
14,5255,4313.12,4929.14
15,5255,3302.88,4403.5
16,5255,3662.06,4185.07
17,5255,3291.62,4051
18,5291,3035,4855.4
19,5291,3024.88,4839.2
20,5291,4223.81,4827.07
21,5291,4203.44,4803.79
22,5452,4149.31,4741.93
23,5452,3959.44,4872.92
24,5452,3664.56,4510
25,5452,3308.44,4811.82
26,5452,3936.56,4844.77
27,5452,3709.25,4565
28,5452,3961.31,4875.23
29,5452,3923.56,4828.77
30,5452,2379.69,4758.38
31,5452,4165.56,4760.5
32,5452,3933,4494.71
33,5452,3990.81,4911.54
34,5452,3554.81,5170.18
35,5452,4198.44,5167.08
36,5452,3410.44,4960.18
37,5452,3723.5,4964.33
38,5452,3158.94,5053.7
39,5452,4116.56,5066.31
40,5452,3276.31,4765.09
41,5452,4293.38,4906.57
42,5452,3494.5,4659
43,5452,4205.19,4805.79
44,5452,4367.12,4990.86
45,5452,2979.5,4766.6
46,5452,3697.25,4929.33
47,5452,4412.69,5042.93
48,5452,3875.06,5166.42
49,5522,3673.62,5343
50,5522,3766.62,5021.83
51,5522,4247.06,5226.92
52,5796,4664.5,5330.71
53,5796,4308.62,5302.69
54,5796,4481.75,5515.77
55,5796,4111.19,5481.25
56,5796,4195.75,5594
57,5796,5129,5470.87
58,5796,3904.31,5205.42
59,5796,3898.5,5197.67
60,5796,4583.81,5238.5
61,5796,3084.31,5482.44
62,5796,4182.88,5147.92
63,5796,3465.19,5039.82
64,5796,3329.94,4843.09
65,5796,3901.31,4801.38
66,5796,2773.69,4930.22
67,5796,3398.19,5436.5
68,5980,3547.75,5159.91
69,5980,3614.12,5256.45
70,5980,4410.75,5428.38
71,5980,3813.31,5546.18
72,5980,4570.62,5223.43
73,5980,4039.06,4970.92
74,5980,3659.44,4503.69
75,5980,3856.31,4746
76,5980,4724.06,5038.93
77,5980,3946.75,4857.31
78,5980,5060.88,5060.88
79,5980,4271.31,4881.36
80,5980,3644.31,4485.08
81,5980,4092.88,4365.67
82,5980,3835.06,4382.79
83,5980,4062.5,4642.71
84,5980,3194.5,4646.09
85,5980,4002,4573.57
86,5980,3222.31,4686.55
87,5980,4230.44,5640.25
88,5980,4843.81,5535.64
89,5980,4135.62,5513.83
90,5980,3822.94,5560.18
91,5980,4786.44,5470.07
92,5980,4986.25,5318.6
93,5980,3627.94,5276.55
94,5980,3215.75,5144.6
95,5980,4331.12,5330.38
96,5980,3274.06,5237.9
97,5980,3806.25,5074.67
98,5980,4053.12,5403.83
99,5980,4348.44,5797.58
100,5980,4995.75,5709.29
101,5980,4073.62,5431.17
102,5980,4385.25,5397
103,5980,3962.69,5283.25
104,5980,4093.75,5458
105,5980,2959.88,5261.22
106,5980,4108.62,5477.83
107,5980,4121.38,5072.23
108,5980,3129.44,5006.5
109,5980,3139.94,5581.33
110,5980,5193.31,5193.31
111,5980,4587.44,5242.64
112,5980,4531.56,5178.79
113,5980,3867.94,5156.92
114,5980,4160,5546.33
115,5980,3509,5613.8
116,5980,5116.69,5457.73
117,5980,3758,5010.33
118,5980,3970.25,4886.23
119,5980,3836.81,5115.42
120,5980,4494.75,5136.71
121,5980,4088,4671.86
122,5980,3762.19,4630.15
123,5980,3993.56,4914.92
124,5980,3518.06,4690.42
125,5980,3089.38,4493.18
126,5980,4468.25,4766.07
127,5980,4312.06,4927.93
128,5980,3196.75,5114.2
129,5980,2792,4962.78
130,5980,4166.12,5127.31
131,5980,4120.62,5493.83
132,5980,2975.75,5289.44
133,5980,2874.69,5748.38
134,5980,5031.69,5750.36
135,5980,4279.06,5705.08
136,5980,4248.31,5664.08
137,5980,4868.06,5563.36
138,5980,3807.25,5076
139,5980,3605.75,4807.33
140,5980,3573.12,4763.83
141,5980,4524.25,5568.08
142,5980,4766.12,5446.86
143,5980,4887.12,5585.14
144,5980,4188.19,5583.92
145,5980,3718.38,5408.09
146,5980,3594.38,5750.4
147,5980,3672.69,5341.64
148,5980,4774.56,5456.5
149,5980,4430.31,5452.46
150,5980,3572,4762.33
151,5980,3542.25,4722.67
152,5980,3900.5,4800.38
153,5980,4400.12,4693.4
154,5980,3303.5,4804.64
155,5980,4362.62,5816.5
156,5980,3266.38,5806.11
157,5980,4943.94,5650.07
158,5980,3833.31,5575.27
159,5980,4110.38,5480.17
160,5980,4381.75,5392.69
161,5980,3747.56,5450.55
162,5980,4288.19,5277.54
163,5980,4644.94,5308.36
164,5980,4409.81,5427.23
165,5980,3971.62,5295.17
166,5980,4064.12,5418.5
167,5980,4128.44,5504.25
168,5980,4110.19,5479.92
169,5980,4539.69,5587.08
170,5980,5175.12,5914.29
171,5980,4209.81,5612.75
172,5980,4287.38,5716.17
173,5980,3630.06,5807.5
174,5980,3650.38,5840
175,5980,4732.25,5824.08
176,5980,3560.12,5695.6
177,5980,3761.06,5470.18
178,5980,4085.94,5447.58
179,5980,4601,5258.14
180,5980,3849.25,5598.45
181,5980,4290.94,5720.92
182,5980,3948.44,5742.73
183,5980,4582.44,5639.69
184,5980,4450.31,5477.08
185,5980,3588.69,5741.3
186,5980,3841.06,5586.55
187,5980,4782.5,5101.27
188,5980,3621.12,5266.64
189,5980,3400.25,5439.8
190,5980,1934.06,5155.83
191,5980,4153.38,5111.62
192,5980,4394,5021.57
193,5980,3072.88,5462.11
194,5980,3493.12,5588.4
195,5980,5039.56,5375.47
196,5980,3888.12,5655
197,5980,4888.5,5586.71
198,5980,4040.81,5387.42
199,5980,3519.88,5119.36
200,5980,3933.88,5244.83
201,5980,3911.5,5215
202,5980,4584.38,5239.14
203,5980,5180.25,5525.53
204,5980,4750.44,5428.93
205,5980,3507.69,5611.7
206,5980,2490.56,5691.43
207,5980,4487.5,5522.85
208,5980,3931.81,5242.08
209,5980,4817,5505
210,5980,4700.81,5785.38
211,5980,3829.25,5569.36
212,5980,4785.81,5469.36
213,5980,3983.75,5311.33
214,5980,4034.19,5378.58
215,5980,3861.75,5616.64
216,5980,4259.69,5679.25
217,5980,4092.75,5456.67
218,5980,3938.5,5251
219,5980,4716.88,5390.57
220,5980,3847.75,5596.27
221,5980,3651.38,5310.64
222,5980,3798.56,5524.73
223,5980,4623,5283.29
224,5980,5224.94,5224.94
225,5980,3678.62,5350.27
226,5980,3461.69,5538.1
227,5980,3827.44,5566.73
228,5980,4409.06,5426.31
229,5980,3386,5417
230,5980,3850.44,5600.18
231,5980,4851.56,5544.5
232,5980,4158.06,5543.75
233,5980,4523.19,5566.77
234,5980,3463,5036.64
235,5980,3091.5,4945.8
236,5980,4924.19,5252.4
237,5980,3930.75,5240.67
238,5980,4647.5,5311.29
239,5980,3987.5,5316.33
240,5980,4690.38,5360.29
241,5980,4508,5151.86
242,5980,3322.06,5314.7
243,5980,3392.25,5427
244,5980,3665.5,5331.18
245,5980,4778.5,5461
246,5980,2843.12,5685.25
247,5980,4243,5657
248,5980,5087.56,5426.67
249,5980,3798.06,5524
250,5980,3183.81,5093.5
251,5980,2785.81,5570.62
252,5980,3544.56,5155.27
253,5980,3577.56,5203.27
254,5980,4697.38,5368.29
255,5980,4510.81,5551.54
256,5980,5493.44,5859.6
257,5980,3602,5762.6
258,5980,3910.62,5687.73
259,5980,4292,5282.23
260,5980,3288.06,5260.3
261,5980,4606.81,4913.87
262,5980,4493.62,5530.38
263,5980,4539.31,5187.64
264,5980,3720.56,5411.27
265,5980,3874.88,5166.17
266,5980,4666.56,5333.07
267,5980,3828.56,5104.42
268,5980,4067.38,4648.29
269,5980,3332.5,4846.82
270,5980,3362.19,4890
271,5980,3555.44,4740.25
272,5980,3324.5,4432.33
273,5980,4502.81,5145.93
274,5980,4129,5505
275,5980,3847.38,5129.5
276,5980,3460.5,5033
277,5980,4489.69,5130.93
278,5980,4350.12,5799.83
279,5980,4097.94,5463.58
280,5980,3798.88,5525.18
281,5980,3856.44,5608.91
282,5980,4046.06,5394.42
283,5980,4863.62,5187.8
284,5980,4386.25,5398.23
285,5980,3922.31,5229.42
286,5980,4157.62,5116.85
287,5980,4645.88,4955.53
288,5980,3165.75,5064.6
289,5980,4265.19,5249.23
290,5980,4273.88,5698.17
291,5980,4070.44,5920.18
292,5980,4029.38,5860.45
293,5980,3934.06,5721.82
294,5980,4548,5597.31
295,5980,4102.44,5469.58
296,5980,3837,5580.64
297,5980,4089.31,5032.77
298,5980,4203.19,5172.92
299,5980,4366.5,4657.53
300,5980,3074.5,3783.77
301,5980,3974.62,4239.53
302,5980,4394.88,4687.8
303,5980,3728.75,5423.18
304,5980,3233,5746.78
305,5980,3450.38,5520
306,5980,2761.81,4909.11
307,5980,4022,4949.92
308,5980,4007.19,5342.58
309,5980,3525.19,5127.09
310,5980,2329.44,5323.14
311,5980,2720.81,5440.62
312,5980,3119.94,5545.78
313,5980,3908.31,5684.36
314,5980,4203.44,5173.23
315,5980,4218.94,5624.92
316,5980,4254.25,5672
317,5980,4341.06,5342.62
318,5980,4989.81,5702.5
319,5980,4425.56,5900.42
320,5980,3264.81,5803.33
321,5980,4628.44,5696.31
322,5980,4662.88,5738.69
323,5980,4783.38,5466.57
324,5980,3647,5304.27
325,5980,3380.94,5408.9
326,5980,4095.88,5460.83
327,5980,4126.69,5501.92
328,5980,2895,5145.89
329,5980,3349.44,4871.45
330,5980,4528.69,4830.53
331,5980,4024.06,5365.08
332,5980,3055.94,5432
333,5980,3765.12,5476.09
334,5980,4969.69,5300.93
335,5980,4202.31,5171.85
336,5980,3925.5,5233.67
337,5980,3669.38,4892.17
338,5980,4009.38,4582
339,5980,3992.75,4913.92
340,5980,4538.12,5186.29
341,5980,4121.69,5072.62
342,5980,3091.56,4496.36
343,5980,2749.38,4398.4
344,5980,3689.25,4540.38
345,5980,3586.81,4782.08
346,5980,3714.31,5402.18
347,5980,4100.44,5466.92
348,5980,4143.31,5524.08
349,5980,3382.38,5411.2
350,5980,4224.69,5199.38
351,5980,4058.62,5411.17
352,5980,3075.12,5466.11
353,5980,4288.94,5718.25
354,5980,4244.12,5658.5
355,5980,3863.94,5619.82
356,5980,4350.38,5800.17
357,5980,5041.38,5761.43
358,5980,4383.19,5394.46
359,5980,4237.19,5214.77
360,5980,5012.44,5346.53
361,5980,3529.56,5133.45
362,5980,4846.06,5169.07
363,5980,4080.75,5022.23
364,5980,5096.25,5435.93
365,5980,4570.12,5624.54
366,5980,3130.56,5564.67
367,5980,4417.69,5436.92
368,5980,4668.81,5335.64
369,5980,4410,5427.46
370,5980,3972.94,4889.54
371,5980,3728.94,4589.23
372,5980,4273.69,5259.69
373,5980,3491.94,5586.5
374,5980,3652.38,5312.09
375,5980,4074.12,5431.83
376,5980,3469.75,5046.45
377,5980,4306.5,4921.57
378,5980,3175.06,4617.82
379,5980,3444.12,4591.83
380,5980,4118.19,5068.31
381,5980,3371.31,4494.75
382,5980,4359.19,4649.73
383,5980,4007.69,4932.31
384,5980,4110.81,4697.93
385,5980,4351.25,4641.27
386,5980,2963.12,4740.4
387,5980,4064.38,5418.83
388,5980,3681.19,5354
389,5980,3563.69,5183.09
390,5980,4899.56,5226.13
391,5980,3854.69,5606.36
392,5980,3090.88,5494.11
393,5980,3367.94,5388.1
394,5980,4838.75,5529.86
395,5980,4575.62,5631.31
396,5980,4585.12,5643
397,5980,3445.44,5512.1
398,5980,3977.12,5784.45
399,5980,4188.88,5584.83
400,5980,4854.69,5548.07
401,5980,4068.06,5916.73
402,5980,4598.25,5659.15
403,5980,3023.19,5373.78
404,5980,4383.69,5844.58
405,5980,4175.38,5566.83
406,5980,5018.94,5353.47
407,5980,3843.19,5123.92
408,5980,3872.69,5163.25
409,5980,4206.25,4807
410,5980,4002.44,4925.85
411,5980,3833.44,5110.92
412,5980,4206.12,5607.83
413,5980,4307.38,5742.83
414,5980,5698.44,5698.44
415,5980,3847.31,5595.64
416,5980,2595.06,5189.12
417,5980,3813.31,4693.08
418,5980,3347.19,3825.21
419,5980,4113.75,4701.29
420,5980,4401.19,4401.19
421,5980,4689.56,5359.36
