generation,maxEv,aveEv,aveEvNotOne
0,3030,198.929,2772
1,3615,2028.81,2950.55
2,3746,2556.44,3146.15
3,4215,2733.44,3123.79
4,4950,3534.5,3770.07
5,4950,3949.38,4212.6
6,4950,2069.88,4138.75
7,4950,3142.5,3867.46
8,4950,3674.62,3919.53
9,4950,3453.56,4604.42
10,4950,3028,4403.91
11,4950,3913.38,4472.29
12,4950,3313.75,4078.23
13,5426,2997.12,4359
14,5426,3684.06,4534
15,5426,3582.38,4408.85
16,5426,3099.06,4507.27
17,5426,4039.44,4971.38
18,5426,4094.25,4679
19,5426,3873,4766.54
20,5426,3569.75,4759.33
21,5426,4679.81,4679.81
22,5426,4435.56,4435.56
23,5426,4319.06,4606.93
24,5426,4272,4556.73
25,5426,3709.06,4945.08
26,5426,4828.75,5150.6
27,5610,4026.5,4955.46
28,5796,4441.5,5075.86
29,5980,3913.62,5217.83
30,5980,4576.06,5229.64
31,5980,4220.62,5194.38
32,5980,4094.06,5458.42
33,5980,4340.44,5786.92
34,5980,4947.75,5654.43
35,5980,4488.81,5524.46
36,5980,4525.81,5172.21
37,5980,4167.44,5128.92
38,5980,2881.81,5122.44
39,5980,4338.56,5339.54
40,5980,4131.31,5508.08
41,5980,3485.5,5069.36
42,5980,4155.81,5540.75
43,5980,4440.75,5465.31
44,5980,3695,5374.09
45,5980,3546,5673
46,5980,4554.19,5604.92
47,5980,2649.81,5298.62
48,5980,5136,5478.33
49,5980,4059.25,5412
50,5980,4714.62,5028.87
51,5980,3329,4841.73
52,5980,4070.5,4651.86
53,5980,3947.94,4211.07
54,5980,3026.88,4035.5
55,5980,3601.75,5238.45
56,5980,3421.31,5473.5
57,5980,3837,5115.67
58,5980,4419.94,4714.53
59,5980,4597.69,4904.13
60,5980,4485.94,4784.93
61,5980,3711.75,4568.08
62,5980,5099.19,5099.19
63,5980,4105.31,5473.42
64,5980,4097.62,5463.17
65,5980,3498.5,5088.27
66,5980,4832.38,5154.47
67,5980,3294.81,4792
68,5980,4060.81,4997.69
69,5980,3868.94,5158.25
70,5980,3752.94,5458.36
71,5980,2909.69,5172
72,5980,3306.62,5290
73,5980,3636.5,5817.8
74,5980,3616,5785
75,5980,4365.5,5372.69
76,5980,3368.94,4899.82
77,5980,3549.62,5162.64
78,5980,4215.38,5187.92
79,5980,4415.62,5046.29
80,5980,5253,5253
81,5980,3717.69,5407.09
82,5980,4024.69,5365.92
83,5980,4526.44,5172.93
84,5980,3326.62,5322
85,5980,3954.06,5271.75
86,5980,3494.31,5082.18
87,5980,4152.25,5536
88,5980,4408.31,5425.38
89,5980,3944.5,5737
90,5980,3206.94,5700.44
91,5980,4720.38,5394.57
92,5980,3235.62,5176.4
93,5980,5165.69,5165.69
94,5980,4168.88,5130.69
95,5980,4496.62,5138.86
96,5980,3841.38,5121.5
97,5980,3979.44,5305.58
98,5980,4503.88,5147.14
99,5980,3728.88,4971.5
100,5980,3290.5,4785.73
101,5980,4106,4379.67
102,5980,3733.06,4977.08
103,5980,4291.75,4904.71
104,5980,2241,5121
105,5980,3789.75,5511.91
106,5980,4156.88,5542.17
107,5980,4685.94,5355.21
108,5980,4611.56,5675.54
109,5980,3776.62,5492.82
110,5980,4057.25,5409.33
111,5980,4536.38,5184.29
112,5980,4413.56,5431.85
113,5980,4583.31,5237.93
114,5980,3380.88,5408.8
115,5980,4525.75,5569.92
116,5980,4565.94,5218.07
117,5980,5195.12,5541.4
118,5980,5287.75,5640.2
119,5980,4346.38,5794.83
120,5980,3777.31,5493.82
121,5980,3607.88,5772
122,5980,4829.06,5518.79
123,5980,3294.5,5270.6
124,5980,3791,5054.33
125,5980,3584.94,4779.58
126,5980,3321.5,5313.8
127,5980,4874.19,5570.36
128,5980,4065.19,5419.92
129,5980,4117.44,5067.38
130,5980,4200.69,5169.85
131,5980,3921.38,5228.17
132,5980,4206.5,5608.33
133,5980,3975.69,5782.36
134,5980,4977.12,5688
135,5980,4203.62,5604.5
136,5980,4174.56,5565.75
137,5980,4843.75,5535.57
138,5980,4009.25,5831.18
139,5980,4348.88,5798.17
140,5980,4160.5,5547
