generation,maxEv,aveEv,aveEvNotOne
0,3642,568.286,3177.8
1,3642,1844.5,2950.6
2,3642,1928.44,2804.55
3,4010,2498.06,2664.53
4,4010,2280.5,2606.14
5,4010,2039,2509.31
6,4035,2070.31,2760.08
7,4040,2782.38,2967.8
8,4040,2801.19,3201.21
9,4043,2616.25,3488
10,4376,3647.81,3890.93
11,4543,3970.12,3970.12
12,4710,3431.88,4223.62
13,5255,3128.19,4170.58
14,5255,3134.38,3857.46
15,5255,2760,3679.67
16,5255,2871.81,3828.75
17,5255,2950.06,3630.62
18,5255,3203.25,3660.71
19,5255,3042.19,4055.92
20,5255,3314.94,4079.69
21,5255,2861.62,4161.91
22,5255,3107.56,4519.64
23,5255,4313.44,4929.5
24,5255,4328.75,4617.27
25,5255,3516.62,4688.5
26,5255,4391,4683.67
27,5255,2860.06,4575.5
28,5255,3830,4713.62
29,5255,3579.12,4771.83
30,5255,3601.12,4801.17
31,5255,3167.56,4606.91
32,5255,2559.12,4548.78
33,5255,3835.44,4720.31
34,5255,3281.19,4772.18
35,5372,3493.38,4299.31
36,5444,3535.88,4714.17
37,5444,3116.44,4985.7
38,5444,4060.38,4997.15
39,5444,3522.62,5123.36
40,5444,4244.5,4850.71
41,5444,3603.12,4803.83
42,5444,4162.25,4756.71
43,5526,4608.38,4915.53
44,5526,4123.19,4712.07
45,5526,3573,4763.67
46,5526,3774.56,4645.38
47,5526,4613.62,5272.57
48,5526,3258.5,5213
49,5751,4691.38,5361.43
50,5751,3435.88,4997.18
51,5751,3836.81,4722
52,5751,3446,5011.91
53,5751,4615.69,5274.93
54,5751,4681.88,5350.57
55,5751,4135.56,5513.75
56,5751,3765.31,5020.08
57,5751,3324.94,4835.82
58,5751,3903.62,5204.5
59,5751,4198.81,5598.08
60,5751,3445.94,5512.9
61,5751,4413.31,5431.54
62,5751,4197.44,5165.85
63,5751,4342.31,4962.5
64,5751,5033.94,5369.47
65,5751,4204.62,5605.83
66,5751,4099.75,5466
67,5751,3925.12,5233.17
68,5751,4263.12,5246.69
69,5800,3904.75,5679.18
70,5800,3705,5388.64
71,5800,3412.06,4962.55
72,5800,3376.31,4910.55
73,5800,3114.94,4983.3
74,5800,3804.31,5533.09
75,5800,4692.75,5363
76,5800,3751.12,5455.73
77,5800,4331.94,5331.38
78,5800,4524.31,5170.5
79,5800,3342.94,4862
80,5800,3735.19,4979.92
81,5800,3980.94,4899.38
82,5800,3273.5,4028.69
83,5800,3623.75,4141.29
84,5800,4640.31,5303.07
85,5800,3767.81,5023.42
86,5800,4054,5405
87,5800,4870.62,5566.29
88,5800,4551.88,5602.08
89,5800,4833.69,5524.07
90,5800,3413.94,5461.7
91,5800,3505.69,5608.5
92,5800,4442.5,5467.46
93,5800,4118,5068.08
94,5800,4811.69,5498.93
95,5800,3449.56,5017.09
96,5800,4428.44,5060.93
97,5800,3669.31,5336.73
98,5800,4662.94,5328.93
99,5800,3294.25,5270.2
100,5800,3089.31,4942.3
101,5800,3902.69,4460.07
102,5800,4485.75,4485.75
103,5800,4385.38,5011.71
104,5800,4073.38,4344.87
105,5800,3764.81,5019.42
106,5800,3261.25,4743.18
107,5800,3456.56,4608.42
108,5800,3528.25,4704
109,5800,4319.56,5316.15
110,5800,3284.62,4379.17
111,5800,3466.19,4621.25
112,5800,3469.69,4625.92
113,5800,3535.12,4350.69
114,5800,3761.06,4298.21
115,5800,4094.06,4678.79
116,5800,3197.38,4650.27
117,5800,2429.25,4317.89
118,5800,3913.75,4174.6
119,5800,3957.56,5756
120,5800,4219.5,5625.67
121,5800,3907.06,5682.55
122,5800,3611.06,5777.1
123,5800,3795.38,5520.09
124,5800,3598.19,5756.5
125,5800,3899.38,5671.36
126,5800,4943.38,5649.43
127,5800,3392.69,5427.7
128,5800,4436.38,5459.92
129,5800,3269.62,5230.8
130,5800,3491.69,5078.36
131,5800,3046.06,4873.1
132,5800,3519,4691.67
133,5800,3521.94,5634.5
134,5800,3613.94,5256.18
135,5800,4213.88,5618.17
136,5800,5276.38,5628.07
137,5800,3963.44,5284.25
138,5800,4305.06,5298.31
139,5800,4048.88,4983
140,5800,3982.75,5310
141,5800,3640.19,5294.36
142,5800,4095.38,5460.17
143,5800,4133.12,5510.5
144,5800,3927.94,5236.92
145,5800,3768.56,5481.09
146,5800,3428.06,5484.3
147,5800,3831.94,5108.92
148,5800,3496.19,4661.25
149,5800,4130.31,5083.23
150,5800,3341.94,5346.5
151,5800,4402.38,5031.14
152,5800,3937.19,5249.25
153,5800,4528.19,4830
154,5800,3903.25,4803.77
155,5800,3794.88,5059.5
156,5800,4418.56,5049.64
157,5800,4098.06,5463.75
158,5800,4572.31,5225.36
159,5800,4150.5,5108.08
160,5800,4978.44,5310.27
161,5800,4436.62,5460.23
162,5800,3728.44,5422.73
163,5800,3618.62,5263
164,5800,4760.62,5077.93
165,5800,4126.25,5078.23
166,5800,3930.69,4837.54
167,5800,4048.12,4982.08
168,5800,4404.31,5420.46
169,5800,4135.56,5513.75
170,5800,4393.75,5021.29
171,5800,3012.69,4819.7
172,5800,3506.69,4675.25
173,5800,3317.88,4825.55
174,5800,3021.31,4833.5
175,5800,3778.19,4649.85
176,5800,3931.06,4492.5
177,5800,4377.94,5003.21
178,5800,3661.88,4882.17
179,5800,4252.19,4535.6
180,5800,4594.31,5250.5
181,5800,4274.88,5261.15
182,5800,4005.12,5339.83
183,5800,4081.94,5023.69
184,5800,4595.62,5252
185,5800,4055.38,4991
186,5800,3822.5,4704.38
187,5800,4058.56,4994.92
188,5800,4459.62,5096.57
189,5800,4079.62,5020.85
190,5800,3482.31,4642.75
191,5800,4222.69,4825.79
192,5800,4576.44,5230.07
193,5800,4200,5169
194,5800,3820.81,5094.08
195,5800,4039.75,4971.77
196,5800,3261.31,4743.27
197,5800,3412.56,4963.27
198,5800,3795.12,5059.83
199,5800,3679.69,4528.62
200,5800,3812.19,4356.64
201,5800,3824.69,4370.93
202,5800,3959.12,4872.54
203,5800,4199.19,4479.07
204,5800,4184.06,4781.64
205,5800,3997.44,4568.36
206,5800,3706,4561
207,5800,4068.12,4649.14
208,5800,2828.19,4524.5
209,5800,3444.69,5010
210,5800,3912.06,4814.62
211,5800,4038.19,4969.85
212,5800,3922,4826.85
213,5800,4221.31,5195.23
214,5800,4196.5,5164.69
215,5800,3976.69,5301.92
216,5800,3735.31,5432.73
217,5800,5416.31,5416.31
218,5800,4083.69,5444.58
219,5800,3233.81,5173.5
220,5800,3866.56,5155.08
221,5800,3916.38,4819.92
222,5800,3372.25,4496
223,5800,3885.06,4781.38
224,5800,4507,5150.71
225,5800,4349.19,5352.62
226,5800,4543.38,5192.29
227,5800,4102.62,5049.15
228,5800,3762.44,5472.18
229,5800,4017,5355.67
230,5800,4389.06,5401.69
231,5800,2644.5,5288
232,5800,3906.25,5681.36
233,5800,5077.38,5415.8
234,5800,4550.81,5200.79
235,5800,4795.19,5480.07
236,5800,4154,5538.33
237,5800,4287.12,5276.23
238,5800,3804.06,5071.75
239,5800,4622.38,4930.47
240,5800,3619.44,5264.18
241,5800,4399.19,5027.5
242,5800,3504.5,5097
243,5800,3539.94,5148.55
244,5800,3882.25,5176
245,5800,3359.19,4885.64
246,5800,4136.56,4727.36
247,5800,4031.75,5375.33
248,5800,3438,5500.2
249,5800,3804.5,5533.36
250,5800,4970,5301.27
251,5800,3740.5,5440.27
252,5800,4391.38,5404.54
253,5800,4332.69,5332.31
254,5800,4479.88,5119.71
255,5800,3311.75,4816.64
256,5800,3883.75,4142.6
257,5800,3474.81,4276.46
258,5800,3970.62,4886.69
259,5800,4471.5,5110.14
260,5800,3232.19,5170.9
261,5800,4064.94,5419.58
262,5800,3039.94,5403.56
263,5800,5523.88,5523.88
264,5800,4507.12,5547
265,5800,3188,5666.78
266,5800,4515.31,5557.08
267,5800,4254.75,5672.67
268,5800,3508,5612.2
269,5800,4188.69,5584.58
270,5800,4337.94,5338.77
271,5800,4314.06,5309.38
272,5800,3506.5,5609.8
273,5800,4556.31,5207.07
274,5800,3805.19,5534.36
275,5800,4192.19,5589.25
276,5800,4021.94,5362.25
277,5800,3940.12,5253.17
278,5800,3486.06,5070.18
279,5800,3360.5,5376.2
280,5800,4571.44,5224.36
281,5800,3946.19,4856.62
282,5800,4711.69,4711.69
283,5800,3460.31,4613.42
284,5800,4745.5,4745.5
285,5800,3943.25,5257.33
286,5800,3860.31,5146.75
287,5800,2945.25,5235.22
288,5800,4139.31,5518.75
289,5800,4005.44,5340.25
290,5800,3874.69,5165.92
291,5800,3623.69,4831.25
292,5800,3901.25,5201.33
293,5800,3496.81,5085.82
294,5800,4607.94,5266.07
295,5800,3398.94,5437.7
296,5800,3830.5,5571.18
297,5800,3844,5590.82
298,5800,4140.5,5520.33
299,5800,3639.81,5293.82
300,5800,4601.44,5663.08
301,5800,3771.81,5485.82
302,5800,4398.5,5413.31
303,5800,4363.69,5370.46
304,5800,3658.94,5321.64
305,5800,4268.62,5691.17
306,5800,4992.12,5705.14
307,5800,4531.69,5577.23
308,5800,3936.69,5248.58
309,5800,4189.69,5156.31
310,5800,3342.25,4861
311,5800,3451.88,5020.45
312,5800,4615.06,4922.67
313,5800,3470.06,5046.91
314,5800,3983.75,4902.85
315,5800,4477.69,4776.13
316,5800,3639.25,4852
317,5800,5133.5,5133.5
318,5800,5206.06,5553.07
319,5800,3728.19,5422.36
320,5800,4601.12,5258.29
321,5800,4367.38,5375
322,5800,4587.88,5646.38
323,5800,4403,5418.85
324,5800,3803.75,5532.27
325,5800,3740.31,5440
326,5800,3429.19,4987.45
327,5800,3863.56,5151.08
328,5800,3898.56,5197.75
329,5800,3642.19,5297.27
330,5800,3568.56,4757.75
331,5800,4600.62,4600.62
332,5800,4252.12,4535.53
333,5800,4110,4697
334,5800,3061.25,4081.33
335,5800,3366.62,4143.31
336,5800,3655.31,4873.42
337,5800,3300.12,4399.83
338,5800,3662.62,4883.17
339,5800,3935.62,4843.62
340,5800,3955.81,5274.08
341,5800,4725.69,5400.64
342,5800,3529.38,5133.18
343,5800,4138.12,5092.85
344,5800,5206.38,5206.38
345,5800,3407.81,5451.9
346,5800,4282,5269.92
347,5800,3946.62,4857.15
348,5800,4202.94,4803.21
349,5800,4024.06,4952.46
350,5800,4398.44,5026.64
351,5800,4247,5226.85
352,5800,4443.44,5468.62
353,5800,4147.12,5529.17
354,5800,4494,5530.85
355,5800,3814.44,5547.82
356,5800,3797.12,5522.64
357,5800,3407.19,5450.9
358,5818,4215.81,5188.46
359,5818,3566.81,5187.64
360,5818,3356.75,4882.09
361,5818,5155.56,5155.56
362,5818,2939.69,4702.9
363,5818,3643.69,4857.92
364,5818,4469.56,5107.93
365,5818,3199.19,5118.1
366,5818,4089.75,5033.31
367,5818,3456,5026.45
368,5818,3595.62,5229.55
369,5818,3829.75,5106
370,5818,4272.88,5696.83
371,5818,4165.25,5553.33
372,5818,4229.44,5205.23
373,5818,4569.81,5624.15
374,5818,5168.94,5513.47
375,5818,4204.81,5606.08
376,5818,4119.69,5492.58
377,5818,3692.31,5370.18
378,5818,3254.88,5207.2
379,5818,4232.19,5208.62
380,5818,4511.12,5551.92
381,5818,3885.38,5651
382,5818,3679.56,5351.64
383,5818,3980.94,5307.58
384,5818,4526.75,5173.29
385,5818,4067.56,5423.08
386,5818,4118.81,5491.42
387,5818,4167.31,5128.77
388,5818,4264.31,5248.15
389,5818,4097.62,5043
390,5818,4319.69,4936.64
391,5818,3255.44,5208.1
392,5818,4119.12,5069.46
393,5818,3056.62,5433.22
394,5818,4858.19,5182
395,5818,3642.19,5297.27
396,5818,2687.69,5374.38
397,5818,4478.38,5511.62
398,5818,3558.44,5175.45
399,5818,3981.75,5308.67
400,5818,4498,5140.43
401,5818,4120.19,5070.77
402,5818,3094.19,4950.1
403,5818,4365.75,4989.29
404,5818,4607.25,5265.29
405,5818,4608.19,5266.36
406,5818,3521.12,5633.2
407,5818,4859.25,5553.29
408,5818,3654.06,5314.55
409,5818,4438.94,5463.08
410,5818,3346.94,5354.5
411,5818,4246.69,5226.46
412,5818,3945.25,5260
413,5818,4168.75,5130.54
414,5818,4266.19,4875.5
415,5818,3012.06,4380.73
416,5818,2874.44,4180.55
417,5818,4096.25,4681.29
418,5818,3686.81,4537.38
419,5818,3889.88,4787.31
420,5818,3871.12,5161.17
421,5818,3342.81,4456.75
422,5818,3799.5,5065.67
423,5818,3458.75,5030.45
424,5818,3754.81,5006.08
425,5818,4398.44,5026.64
426,5818,4028.56,5371.08
427,5818,3509.06,5103.64
428,5818,4182.81,5147.85
429,5818,3682.38,5355.73
430,5818,3944.38,4854.38
431,5818,4296.31,4909.93
432,5818,3878.62,5171.17
433,5818,4388.12,5014.86
434,5818,4100.12,4685.71
435,5818,4654.12,4964.33
436,5818,3890.56,5187.08
437,5818,2586,5171
