generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
3,3530,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1
3,1465,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
3,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1
3,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
3,2817,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1
3,3716,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1
3,2759,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0
4,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
4,2760,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
4,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1
4,3354,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
4,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0
4,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1
4,2936,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
4,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1
4,1989,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
4,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
4,2530,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0
4,3759,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1
4,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
4,3371,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1
4,3530,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1
4,2759,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0
5,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1
5,3938,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1
5,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1
5,3430,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
5,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1
5,3301,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
5,3606,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
5,3281,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
5,2936,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
5,3823,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
5,3295,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1
5,3965,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
5,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
5,2760,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
5,2936,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
